"../STNG channel 0, 100 events, cuts [0 2]"
L [ch],S[ch],T (trigger) [us],baseline,pulse height [bits]
20604.399999999965,0.7543267457436286,6820620.104,14729.41,2480.41
29520.39999999979,0.7401728973862182,6843813.448,14728.96,3357.959999999999
23864.400000000052,0.7545004274148933,6893305.608,14728.26,2937.26
36367.000000000175,0.7662406852366128,6899314.376,14729.575,4551.575000000001
28508.800000000105,0.7624978953866856,6900234.328,14730.02,3504.0200000000004
25388.799999999843,0.7329915159440421,6928690.088,14728.595,2871.5949999999993
34916.19999999998,0.7768521488592693,6933816.616,14730.705,4191.705
24622.999999999913,0.7486445599642634,6968606.584,14730.775,2939.7749999999996
13651.400000000052,0.743757050558915,7011681.112,14728.385,1615.3850000000002
14204.40000000014,0.7309055644729748,7034900.504,14729.735,1663.7350000000006
28307.20000000007,0.7323304671602971,7070026.36,14727.805,3306.8050000000003
16621.600000000122,0.7593838739952791,7110854.456,14729.315,2009.3150000000005
28638.799999999843,0.7702976381692005,7139293.528,14729.72,3575.7199999999993
34613.60000000021,0.7726746134467342,7149090.424000001,14730.29,4196.290000000001
28066.400000000052,0.7658828706210978,7154140.904,14729.635,3450.635
30138.60000000021,0.7727192039444393,7156977.576,14729.415,3708.415000000001
29629.59999999986,0.7688780813780841,7160505.576,14729.39,3759.3899999999994
11313.199999999983,0.7377421949581029,7175915.064,14730.205,1232.205
14199.000000000087,0.74740298612578,7210572.392,14729.475,1801.4750000000004
11710.800000000192,0.7237144345390492,7243473.464,14729.495,1360.4950000000008
26904.79999999993,0.7690551500104086,7254314.2,14728.695,3451.6949999999997
34183.99999999991,0.775541920196585,7257212.152,14729.025,4163.025
15164.800000000017,0.7545615504325801,7315111.784,14729.795,1863.795
32857.59999999986,0.767966923938452,7351909.72,14729.39,4094.3899999999994
23466.799999999843,0.752825268038254,7352814.584,14728.72,2746.7199999999993
36123.39999999979,0.7647971951698932,7358682.392,14729.335,4369.334999999999
11608.399999999878,0.7295643671823909,7382881.752,14728.935,1356.9349999999995
15516.800000000192,0.7357767065374237,7424906.648,14728.62,1829.6200000000008
11625.199999999808,0.723383253621452,7426913.88,14729.255,1350.2549999999992
19577.199999999983,0.7551181987209616,7429225.096,14729.58,2439.58
23521.800000000017,0.7272306966303594,7435788.056,14729.795,2658.795
33143.39999999988,0.7699368501722835,7445787.704,14728.185,4036.1849999999995
36379.399999999965,0.7775677993589785,7455261.688,14729.41,4298.41
12857.400000000052,0.7259399256459294,7475442.12,14729.26,1439.2600000000002
11543.599999999948,0.7204251706573364,7487210.696,14729.74,1283.7399999999998
35756.39999999988,0.7789605497197722,7499783.96,14728.685,4386.6849999999995
29781.199999999895,0.7511903482734094,7522795.7360000005,14729.23,3470.2299999999996
15488.000000000175,0.7365298941115641,7544118.984,14729.075,1805.0750000000007
30451.600000000035,0.7659958754219804,7550388.2,14728.84,3737.84
20125.999999999825,0.7470249925469591,7555354.2,14729.925,2369.9249999999993
14207.999999999825,0.7362313485360428,7562148.2,14729.675,1639.6749999999993
14639.000000000087,0.7158361226859726,7571786.072,14729.225,1594.2250000000004
33159.999999999825,0.765730548854044,7643964.424000001,14727.925,4022.9249999999993
32834.59999999995,0.7656001595877526,7649037.288,14729.115,3980.115
25218.800000000105,0.7671023204910599,7679437.32,14729.52,3120.5200000000004
15476.600000000035,0.7488030316736222,7702652.92,14729.465,1872.4650000000001
24609.79999999993,0.7598355126819414,7702770.76,14729.32,2955.3199999999997
12105.800000000105,0.7317587437426641,7703055.336,14730.145,1392.1450000000004
15626.399999999965,0.7356748835304369,7733600.376,14729.91,1795.9099999999999
31999.60000000021,0.7664564557056925,7741571.112,14729.54,3942.540000000001
18599.199999999983,0.7516304464708164,7753542.232,14729.705,2211.705
21231.399999999878,0.7509490660060132,7832988.264,14729.06,2466.0599999999995
17875.40000000014,0.7472741868713384,7834110.728,14728.485,2032.4850000000006
28286.800000000017,0.7621982691573448,7850113.544,14730.67,3489.67
15142.600000000035,0.7709079022096588,7850850.984,14729.59,1885.5900000000001
31134.600000000035,0.7633926564015591,7856953.992000001,14729.465,3900.465
22308.59999999986,0.7583028518149987,7865620.264,14730.015,2802.0149999999994
20618.000000000175,0.7526372587059803,7871784.808,14729.575,2555.5750000000007
28857.200000000157,0.7608577755291539,7872646.888,14730.405,3540.4050000000007
15914.399999999878,0.7420449404313118,7873430.184,14730.56,1895.5599999999995
16922.999999999913,0.7440982686284966,7880801.992000001,14730.275,1988.2749999999996
35913.19999999981,0.7685955303342532,7880996.728,14730.505,4407.504999999999
33382.60000000012,0.7605249441325702,7945326.1680000005,14728.94,4028.9400000000005
13418.79999999993,0.734223626553793,7945977.336,14730.32,1501.3199999999997
10604.0,0.7324476612599019,7978378.3440000005,14729.375,1202.375
31334.399999999965,0.7691570606107032,8000233.256,14729.535,3738.535
27579.40000000014,0.7341194877335955,8006461.48,14729.235,3145.2350000000006
33489.79999999984,0.7666595500719652,8023415.352,14730.095,4105.094999999999
34853.00000000009,0.7754102946661676,8026823.7360000005,14729.475,4174.475
29784.600000000122,0.7600421022944723,8035292.92,14729.19,3621.1900000000005
1736.7999999998428,0.667549516351955,8054440.008,14728.72,169.71999999999935
15962.999999999913,0.733469585917437,8062360.792,14729.275,1900.2749999999996
17338.399999999965,0.7677582706593469,8073305.496,14727.66,2096.66
23644.400000000052,0.7253757760822848,8094457.592,14729.135,2644.135
15078.800000000192,0.7333574289731208,8126436.888,14728.87,1876.8700000000008
16722.20000000007,0.739240351149966,8149907.688,14729.305,1968.3050000000003
18326.199999999808,0.7473235040543106,8166700.728,14729.88,2115.879999999999
19656.600000000035,0.7308194194316403,8207511.640000001,14728.965,2286.965
1527.2000000000698,0.6615701938187316,8211054.504,14728.43,132.4300000000003
29525.600000000122,0.7647956349743931,8225538.616,14730.69,3577.6900000000005
15366.39999999979,0.7597143768221652,8227425.864,14730.335,1774.3349999999991
25307.400000000052,0.7331432703478027,8242151.496,14728.51,2971.51
18279.000000000175,0.7461020843590953,8253518.664,14729.2,2129.2000000000007
30558.399999999965,0.7704575501335155,8255440.104,14729.91,3660.91
19999.999999999825,0.7860562500000052,8276370.1680000005,14730.425,2533.4249999999993
16204.999999999825,0.7354057389694598,8280316.728,14731.05,1942.0499999999993
19631.199999999983,0.7570716512490326,8301222.632,14729.205,2419.205
27111.40000000014,0.7391152799191456,8328148.056,14729.61,3055.6100000000006
13170.600000000035,0.7371095470213946,8332638.296,14728.715,1567.7150000000001
20309.800000000105,0.7386840343085576,8350726.680000001,14730.145,2344.1450000000004
21455.59999999986,0.7480179999627173,8357154.232,14730.515,2454.5149999999994
1753.1999999999825,0.673753707506279,8361257.1280000005,14730.205,181.20499999999993
32134.799999999843,0.7669458033035867,8367315.112,14729.97,3826.9699999999993
29831.000000000087,0.7537544835908934,8375279.72,14729.85,3524.8500000000004
10910.200000000157,0.7060342615167383,8390407.176,14730.155,1185.1550000000007
12102.599999999948,0.7328012162675812,8392063.112,14729.24,1506.2399999999998
13389.800000000105,0.7403228576976462,8399999.384,14730.395,1605.3950000000004
34826.39999999979,0.7777275285415697,8402054.504,14729.21,4331.209999999999
17114.399999999878,0.7512431052213381,8417794.968,14729.935,1972.9349999999995
36121.0,0.7820243071897234,8422081.8,14728.5,4419.5
